origin,location,Year,juv_tags,pom_overshoots,lwr95,upr95,pred_overshoot,pred_lwr95,pred_upr95
Wild,Downstream,2018,4,218,162,283,179,136,222
Wild,Downstream,2017,16,267,203,333,715,542,887
Wild,Downstream,2016,25,879,747,998,1117,847,1387
Wild,Downstream,2015,32,1945,1764,2153,1430,1085,1775
Wild,Downstream,2014,28,1068,896,1214,1251,949,1553
Wild,Downstream,2013,15,552,432,675,670,508,832
Wild,Downstream,2012,14,755,611,901,626,475,777
Wild,Downstream,2011,36,1652,1411,1915,1609,1220,1997
Wild,At Priest,2018,6,NA,NA,NA,268,203,333
Wild,At Priest,2017,21,NA,NA,NA,938,712,1165
Wild,At Priest,2016,35,NA,NA,NA,1564,1186,1941
Wild,At Priest,2015,44,NA,NA,NA,1966,1492,2441
Wild,At Priest,2014,40,NA,NA,NA,1787,1356,2219
Wild,At Priest,2013,31,NA,NA,NA,1385,1051,1719
Wild,At Priest,2012,18,NA,NA,NA,804,610,998
Wild,At Priest,2011,53,NA,NA,NA,2368,1797,2940
Hatchery,Downstream,2018,15,503,419,598,670,508,832
Hatchery,Downstream,2017,13,969,852,1094,581,441,721
Hatchery,Downstream,2016,14,1003,871,1135,626,475,777
Hatchery,Downstream,2015,32,2705,2492,2925,1430,1085,1775
Hatchery,Downstream,2014,47,1586,1393,1775,2100,1593,2607
Hatchery,Downstream,2013,24,1909,1694,2115,1072,814,1331
Hatchery,Downstream,2012,26,1757,1546,1973,1162,881,1442
Hatchery,Downstream,2011,30,1532,1265,1765,1340,1017,1664
Hatchery,At Priest,2018,20,NA,NA,NA,894,678,1109
Hatchery,At Priest,2017,21,NA,NA,NA,938,712,1165
Hatchery,At Priest,2016,24,NA,NA,NA,1072,814,1331
Hatchery,At Priest,2015,59,NA,NA,NA,2636,2000,3273
Hatchery,At Priest,2014,68,NA,NA,NA,3038,2305,3772
Hatchery,At Priest,2013,42,NA,NA,NA,1877,1424,2330
Hatchery,At Priest,2012,47,NA,NA,NA,2100,1593,2607
Hatchery,At Priest,2011,52,NA,NA,NA,2323,1763,2884
