Year,Origin,param,Estimate,SE,lowerCI,upperCI
2011,Hatchery,BelowJD1,34,19.4,4,71
2011,Hatchery,past_ICH,1397,121.8,1169,1645
2011,Hatchery,past_JD1,22,15.4,1,53
2011,Hatchery,past_PRH,0,0,0,0
2011,Hatchery,past_PRO,56,25.5,14,108
2011,Hatchery,past_PRV,0,0,0,0
2011,Hatchery,past_RSH,0,0,0,0
2011,Hatchery,past_TMF,23,16.6,0,56
2011,Natural,BelowJD1,34,19.3,3,71
2011,Natural,past_ICH,690,87,531,866
2011,Natural,past_JD1,0,0,0,0
2011,Natural,past_PRH,0,0,0,0
2011,Natural,past_PRO,840,95.1,669,1041
2011,Natural,past_PRV,55,25.3,15,107
2011,Natural,past_RSH,0,0,0,0
2011,Natural,past_TMF,33,19.5,3,71
2012,Hatchery,BelowJD1,15,10.4,1,36
2012,Hatchery,past_ICH,1698,107.3,1484,1908
2012,Hatchery,past_JD1,0,0,0,0
2012,Hatchery,past_PRH,14,10,0,34
2012,Hatchery,past_PRO,29,14.8,7,60
2012,Hatchery,past_PRV,0,0,0,0
2012,Hatchery,past_RSH,0,0,0,0
2012,Hatchery,past_TMF,0,0,0,0
2012,Natural,BelowJD1,7,7.1,0,21
2012,Natural,past_ICH,363,52.3,259,463
2012,Natural,past_JD1,0,0,0,0
2012,Natural,past_PRH,0,0,0,0
2012,Natural,past_PRO,364,50.2,272,467
2012,Natural,past_PRV,21,12.2,3,46
2012,Natural,past_RSH,0,0,0,0
2012,Natural,past_TMF,0,0,0,0
2013,Hatchery,BelowJD1,21,12.2,3,46
2013,Hatchery,past_ICH,1832,106.4,1637,2043
2013,Hatchery,past_JD1,0,0,0,0
2013,Hatchery,past_PRH,14,9.7,0,32
2013,Hatchery,past_PRO,28,14.1,6,58
2013,Hatchery,past_PRV,14,9.9,0,33
2013,Hatchery,past_RSH,0,0,0,0
2013,Hatchery,past_TMF,0,0,0,0
2013,Natural,BelowJD1,14,9.6,0,32
2013,Natural,past_ICH,324,47.2,236,419
2013,Natural,past_JD1,0,0,0,0
2013,Natural,past_PRH,0,0,0,0
2013,Natural,past_PRO,181,35.3,114,252
2013,Natural,past_PRV,20,12.1,2,45
2013,Natural,past_RSH,0,0,0,0
2013,Natural,past_TMF,13,9.8,0,33
2014,Hatchery,BelowJD1,6,6.7,0,19
2014,Hatchery,past_ICH,1433,94,1235,1606
2014,Hatchery,past_JD1,19,11.3,2,40
2014,Hatchery,past_PRH,32,14.4,8,60
2014,Hatchery,past_PRO,32,14.4,7,60
2014,Hatchery,past_PRV,51,18,21,88
2014,Hatchery,past_RSH,0,0,0,0
2014,Hatchery,past_TMF,13,8.9,0,30
2014,Natural,BelowJD1,19,10.9,2,40
2014,Natural,past_ICH,639,64.3,508,762
2014,Natural,past_JD1,38,15.2,12,69
2014,Natural,past_PRH,0,0,0,0
2014,Natural,past_PRO,334,45.3,246,421
2014,Natural,past_PRV,19,11.1,1,40
2014,Natural,past_RSH,0,0,0,0
2014,Natural,past_TMF,19,11.5,2,43
2015,Hatchery,BelowJD1,16,9.4,1,35
2015,Hatchery,past_ICH,2504,107.1,2321,2742
2015,Hatchery,past_JD1,11,7.8,0,26
2015,Hatchery,past_PRH,65,19,30,102
2015,Hatchery,past_PRO,60,17.9,26,94
2015,Hatchery,past_PRV,27,12.2,7,52
2015,Hatchery,past_RSH,0,0,0,0
2015,Hatchery,past_TMF,22,10.8,6,46
2015,Natural,BelowJD1,16,9.3,2,34
2015,Natural,past_ICH,1169,78.2,1023,1323
2015,Natural,past_JD1,43,15.4,16,74
2015,Natural,past_PRH,11,7.7,1,27
2015,Natural,past_PRO,579,55.9,472,689
2015,Natural,past_PRV,75,19.4,40,113
2015,Natural,past_RSH,0,0,0,0
2015,Natural,past_TMF,53,17,24,87
2016,Hatchery,BelowJD1,10,7,0,24
2016,Hatchery,past_ICH,882,62.6,759,1004
2016,Hatchery,past_JD1,0,0,0,0
2016,Hatchery,past_PRH,19,9.6,3,38
2016,Hatchery,past_PRO,20,9.5,3,38
2016,Hatchery,past_PRV,20,9.6,4,39
2016,Hatchery,past_RSH,53,15.9,26,86
2016,Hatchery,past_TMF,0,0,0,0
2016,Natural,BelowJD1,10,6.8,0,23
2016,Natural,past_ICH,426,45.5,333,510
2016,Natural,past_JD1,29,11.6,8,51
2016,Natural,past_PRH,10,7,0,24
2016,Natural,past_PRO,324,38.7,248,398
2016,Natural,past_PRV,57,16.7,27,89
2016,Natural,past_RSH,0,0,0,0
2016,Natural,past_TMF,24,10.4,7,45
2017,Hatchery,BelowJD1,9,5.9,0,20
2017,Hatchery,past_ICH,685,51.3,582,782
2017,Hatchery,past_JD1,0,0,0,0
2017,Hatchery,past_PRH,26,10.5,8,47
2017,Hatchery,past_PRO,26,10.5,7,46
2017,Hatchery,past_PRV,26,10.5,7,46
2017,Hatchery,past_RSH,198,28.9,139,251
2017,Hatchery,past_TMF,0,0,0,0
2017,Natural,BelowJD1,8,5.7,0,19
2017,Natural,past_ICH,117,22.8,75,163
2017,Natural,past_JD1,20,9,4,38
2017,Natural,past_PRH,0,0,0,0
2017,Natural,past_PRO,89,19.5,53,127
2017,Natural,past_PRV,20,9.3,4,38
2017,Natural,past_RSH,0,0,0,0
2017,Natural,past_TMF,12,7,1,26
2018,Hatchery,BelowJD1,4,4.1,0,13
2018,Hatchery,past_ICH,254,32.9,191,316
2018,Hatchery,past_JD1,0,0,0,0
2018,Hatchery,past_PRH,0,0,0,0
2018,Hatchery,past_PRO,13,7.2,1,27
2018,Hatchery,past_PRV,9,6.1,0,21
2018,Hatchery,past_RSH,224,30.1,165,280
2018,Hatchery,past_TMF,0,0,0,0
2018,Natural,BelowJD1,4,4,0,12
2018,Natural,past_ICH,65,16.4,35,96
2018,Natural,past_JD1,21,9.2,6,39
2018,Natural,past_PRH,0,0,0,0
2018,Natural,past_PRO,116,22.5,74,161
2018,Natural,past_PRV,12,7.2,1,26
2018,Natural,past_RSH,0,0,0,0
2018,Natural,past_TMF,0,0,0,0
